"company_name","symbol","industry"
"ACC Ltd.","ACC","Construction Materials"
"Aarti Industries Ltd.","AARTIIND","Chemicals"
"Adani Green Energy Ltd.","ADANIGREEN","Power"
"Adani Ports and Special Economic Zone Ltd.","ADANIPORTS","Services"
"Aditya Birla Fashion and Retail Ltd.","ABFRL","Consumer Services"
"Affle (India) Ltd.","AFFLE","Information Technology"
"Alkem Laboratories Ltd.","ALKEM","Healthcare"
"Alkyl Amines Chemicals Ltd.","ALKYLAMINE","Chemicals"
"Amber Enterprises India Ltd.","AMBER","Consumer Durables"
"Ambuja Cements Ltd.","AMBUJACEM","Construction Materials"
"Anant Raj Ltd.","ANANTRAJ","Realty"
"Apar Industries Ltd.","APARINDS","Capital Goods"
"Archean Chemical Industries Ltd.","ACI","Chemicals"
"Astral Ltd.","ASTRAL","Capital Goods"
"Aurobindo Pharma Ltd.","AUROPHARMA","Healthcare"
"BASF India Ltd.","BASF","Chemicals"
"BSE Ltd.","BSE","Financial Services"
"Bharat Dynamics Ltd.","BDL","Capital Goods"
"Birla Corporation Ltd.","BIRLACORPN","Construction Materials"
"Birlasoft Ltd.","BSOFT","Information Technology"
"Blue Star Ltd.","BLUESTARCO","Consumer Durables"
"Brigade Enterprises Ltd.","BRIGADE","Realty"
"C.E. Info Systems Ltd.","MAPMYINDIA","Information Technology"
"Campus Activewear Ltd.","CAMPUS","Consumer Durables"
"Caplin Point Laboratories Ltd.","CAPLIPOINT","Healthcare"
"Century Plyboards (India) Ltd.","CENTURYPLY","Consumer Durables"
"Cera Sanitaryware Ltd","CERA","Consumer Durables"
"Cipla Ltd.","CIPLA","Healthcare"
"Clean Science and Technology Ltd.","CLEAN","Chemicals"
"Coforge Ltd.","COFORGE","Information Technology"
"Concord Biotech Ltd.","CONCORDBIO","Healthcare"
"Coromandel International Ltd.","COROMANDEL","Chemicals"
"Data Patterns (India) Ltd.","DATAPATTNS","Capital Goods"
"Deepak Fertilisers & Petrochemicals Corp. Ltd.","DEEPAKFERT","Chemicals"
"Dixon Technologies (India) Ltd.","DIXON","Consumer Durables"
"EIH Ltd.","EIHOTEL","Consumer Services"
"Easy Trip Planners Ltd.","EASEMYTRIP","Consumer Services"
"Elgi Equipments Ltd.","ELGIEQUIP","Capital Goods"
"Federal Bank Ltd.","FEDERALBNK","Financial Services"
